"zip","population","city","county","state"
"94949",18545,"Novato","Marin County","California"
"95366",18500,"Ripon","San Joaquin County","California"
"91345",18481,"Mission Hills","Los Angeles County","California"
"91204",18445,"Glendale","Los Angeles County","California"
"90502",18430,"Torrance","Los Angeles County","California"
"95816",18334,"Sacramento","Sacramento County","California"
"95959",18244,"Nevada City","Nevada County","California"
"93111",18165,"Santa Barbara","Santa Barbara County","California"
"91723",17964,"Covina","Los Angeles County","California"
"93728",17892,"Fresno","Fresno County","California"
"93247",17827,"Lindsay","Tulare County","California"
"94612",17742,"Oakland","Alameda County","California"
"92118",17602,"Coronado","San Diego County","California"
"90670",17556,"Santa Fe Springs","Los Angeles County","California"
"94702",17473,"Berkeley","Alameda County","California"
"92637",17452,"Laguna Woods","Orange County","California"
"91914",17373,"Chula Vista","San Diego County","California"
"94595",17341,"Walnut Creek","Contra Costa County","California"
"94945",17309,"Novato","Marin County","California"
"95334",17302,"Livingston","Merced County","California"
"94618",17285,"Oakland","Alameda County","California"
"94305",17279,"Stanford","Santa Clara County","California"
"94301",17259,"Palo Alto","Santa Clara County","California"
"92270",17257,"Rancho Mirage","Riverside County","California"
"93268",17124,"Taft","Kern County","California"
"91902",17121,"Bonita","San Diego County","California"
"90245",17081,"El Segundo","Los Angeles County","California"
"95422",16998,"Clearlake","Lake County","California"
"93930",16807,"King City","Monterey County","California"
"95448",16745,"Healdsburg","Sonoma County","California"
"91203",16679,"Glendale","Los Angeles County","California"
"95673",16665,"Rio Linda","Sacramento County","California"
"90265",16652,"Malibu","Los Angeles County","California"
